ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,no_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo
2016_10644,2000.00,2000.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,17924,MARZOLINI JUAN CARLOS,AM 1550 LT 40 LA VOZ DE LA PAZ,Entre Rios,DA 448-09,jul-16
2016_10645,6060.00,6060.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,14847,MAXIMA COMUNICACIONES SRL,FM 94.5 Máxima,Entre Rios,DA 448-09,jul-16
2016_10646,4957.20,4957.20,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,18570,LAZO MANUEL ALBERTO,AM 660 LT41 LA VOZ DEL SUR ENTRERRIANO,Entre Rios,DA 448-09,jul-16
2016_10647,3600.00,4356.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,18093,VORTERIX S.A.,FM VORTERIX 91.7,Entre Rios,DA 448-09,jul-16
2016_10590,15200.00,15200.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,12159,TV Y FM LAS BRISAS S.R.L.,FM 98.5 RADIO BRISAS,Buenos Aires,DA 448-09,jul-16
2016_10591,20800.00,25168.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11044,EDITORIAL LA CAPITAL S.A.,LU 6 AM 760 ATLANTICA,Buenos Aires,DA 448-09,jul-16
2016_10592,17200.00,20812.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,12351,DIFUSORA AUSTRAL S.A.,AM 670,Buenos Aires,DA 448-09,jul-16
2016_10593,37600.00,45496.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11159,RADIO BAHIA BLANCA SACP DE RYT,AM 840 LU2,Buenos Aires,DA 448-09,jul-16
2016_10594,500,500,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,16912,QUEIJEIRO BUSTILLO EDUARDO,FM 97.9 ALTOS,Buenos Aires,DA 448-09,jul-16
2016_10595,8200.00,9922.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,17206,COOP.TRAB.ONDAS DEL SUR LMTDA.,AM 1080 LU3 BAHIA BLANCA,Buenos Aires,DA 448-09,jul-16
2016_10596,4800.00,5808.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,17344,QM NOTICIAS S.A.,FM 103.5 CIELO,Buenos Aires,DA 448-09,jul-16
2016_10597,5722.20,6923.86,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,13685,LA 98 LP DE SAUL O.APOLINAIRE,FM 100.3 LA REDONDA,Buenos Aires,DA 448-09,jul-16
2016_10588,23000.00,27830.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,17684,EMPREND. PUBLIC. BONAEREN. S.A,FM 92.1,Buenos Aires,DA 448-09,jul-16
